question,topic,document
¿Qué acción ayudará al Eje 4 a proteger los elementos históricos del Centro Histórico?,PMD,335b2f94
En qué medida el Eje 4 contribuirá al mejoramiento urbano y preservación cultural de este área?,PMD,335b2f94
¿Cuáles son los objetivos principales del Plan de Manejo del Centro Histórico de la ciudad?,PMD,805017f9
¿Qué acciones se llevarán a cabo para lograr un mayor compromiso con la gestión y conservación del patrimonio histórico?,PMD,805017f9
¿Qué política abordan los programas parciales de desarrollo urbano del Centro Histórico?,PMD,017273c8
¿Cuáles son los objetivos de gobierno en el Barrio de Santiago Universitario?,PMD,017273c8
¿Cuál fue la tasa más baja alcanzada por la zona metropolitana en cuanto a crecimiento poblacional durante el último decenio?,PMD,bbcc69fc
¿Cuáles son algunos de los municipios con las mayores tasas de crecimiento dentro del área metropolitana?,PMD,bbcc69fc
¿Qué fenómeno ha provocado la reducción de personas viviendo en el área principal de la ciudad?,PMD,9f8a1086
¿Por qué la gente se está mudando de la parte vieja de la ciudad a las áreas alrededor del centro metropolitano?,PMD,9f8a1086
¿Cuáles son los efectos del despoblamiento urbano sobre la movilidad?,PMD,244a2e43
¿Cómo afecta el despoblamiento económico y medioambiental a una región?,PMD,244a2e43
¿Qué fenómenos provocan la degradación del patrimonio urbano del núcleo céntrico?,PMD,bddafd6d
¿Por qué las construcciones en el Centro Histórico están siendo abandonadas?,PMD,bddafd6d
¿Cuáles son los sectores del Centro Histórico más afectados por la falta de mantenimiento?,PMD,28697056
¿Cómo ha afectado la falta de inversión en mantenimiento a áreas específicas del Centro Histórico?,PMD,28697056
¿Qué condiciones han llevado al centro histórico a un estado de decadencia?,PMD,884b3595
¿Cuáles son los factores clave que han contribuido al mal estado del centro histórico en materia de infraestructura edificada?,PMD,884b3595
¿Por qué se le considera una riqueza cultural a su municipio?,PMD,6351cfa1
¿Cuáles son las razones por lo que está reconocido a nivel nacional?,PMD,6351cfa1
¿Cuál es la relación entre turismo y economía local?,PMD,21b7970e
¿Por qué tiene una alta significación la actividad turística?,PMD,21b7970e
¿Cómo otorga la UNESCO ventajas competitivas a los municipios turísticos?,PMD,3b870dae
¿Qué beneficios generales aportan en Puebla los reconocimientos UNESCO para la vocación turística?,PMD,3b870dae
¿Qué año fue inscrito el Centro Histórico de Puebla en Patrimonio Mundial?,PMD,033163bd
¿Cuándo se registró oficialmente el sitio turístico del centro histórico de Puebla?,PMD,033163bd
¿En qué año fue incluida la Biblioteca Palafoxiana en el Registro de la Memoria del Mundo?,PMD,7e11272c
¿A qué año se remonta la inclusión de la Biblioteca Palafoxiana en el Registro de la Memoria del Mundo?,PMD,7e11272c
¿Qué reconocimiento obtuvieron los documentos del Archivo General Municipal de Puebla?,PMD,bffc5f55
¿Se registraron ciertas colecciones en un importante índice americano en 2015?,PMD,bffc5f55
¿En qué año fueron inscritos los procesos artesanales para la elaboración de la Talavera de Puebla y Tlaxcala en lista del Patrimonio Cultural Inmaterial de la Humanidad?,PMD,2c59f0ff
¿Cuáles fueron las fechas exactas en las que se inscribieron los procesos artesanales mencionados?,PMD,2c59f0ff
¿Qué año marcó la inclusión de la Ciudad de Puebla en la Red de Ciudades Creativas de la UNESCO?,PMD,da34489d
¿En qué año la UNESCO nombró creativa a la Ciudad de Puebla?,PMD,da34489d
¿Cuál es la condición que afecta al 25.5% de las viviendas particulares habitadas en Puebla?,PMD,83e2a23e
¿Qué es común en el 25.5% de las viviendas particulares del municipio de Puebla?,PMD,83e2a23e
¿Qué porcentaje de viviendas con solo un dormitorio tiene el municipio de Puebla?,PMD,e7af742e
¿Cómo es el porcentaje estatal de viviendas con un solo dormitorio en comparación con la del municipio de Puebla?,PMD,e7af742e
¿Cuánto por ciento de viviendas tiene un solo cuarto en San Andrés Azumiatla?,PMD,318ff118
En dónde se encuentra el 54.8% de las viviendas que son para dormir una sola en San Andrés Azumiatla?,PMD,318ff118
"¿Qué porcentaje de viviendas en el Centro Histórico tiene solo una habitación, lo que refleja hacinamiento?",PMD,9079cdc6
¿Qué indica el hecho de que el 34.9% de las viviendas en el Centro Histórico tiene únicamente un dormitorio?,PMD,9079cdc6
¿Cuál porcentaje de viviendas con solo un dormitorio se registra en San Miguel Canoa?,PMD,2285cae5
¿Cuáles son los porcentajes de viviendas con solo un dormitorio registrados en Santa María Guadalupe Tecola y San Miguel Canoa?,PMD,2285cae5
¿Cuántos archivos históricos tiene el municipio?,PMD,c23c2879
¿Cuáles son los otros logros del municipio después de ser declarado patrimonio de la UNESCO?,PMD,c23c2879
¿Qué premio tiene el Centro Histórico de Puebla por parte de la UNESCO?,PMD,ee0946cb
¿De qué lista forma parte el Centro Histórico de Puebla según la UNESCO?,PMD,ee0946cb
¿Cuál fue el reconocimiento de la UNESCO a Talavera de Puebla?,PMD,63a78c12
¿Por qué es importante Talavera de Puebla según la UNESCO?,PMD,63a78c12
¿Cuáles son los principales monumentos históricos de ese municipio?,PMD,5b385772
¿Qué sitios museísticos tiene el municipio?,PMD,5b385772
¿Cuántos monumentos religiosos está a cargo el Instituto Nacional de Antropología e Historia?,PMD,14de7668
¿Qué lugares emblemáticos del municipio están custodiados por el Instituto Nacional de Antropología e Historia?,PMD,14de7668
¿Cuál es la cuestión identificada en el Diagnóstico Urbano del Centro Histórico?,PMD,5d40972a
¿Qué elementos de la ciudad están afectados por ese diagnóstico?,PMD,5d40972a
¿Cómo afecta la proliferación de espectaculares y anuncios en vialidades a la apariencia de la ciudad?,PMD,bee1f3b4
¿Por qué la instalación no autorizada de anuncios en las vialidades es considerada un riesgo?,PMD,bee1f3b4
¿Qué instrumentos de planeación tienes tú en Puebla?,PMD,5d933f35
¿Cuáles son los programas parciales de gestión urbana que se aplican?,PMD,5d933f35
¿Cuál es el instrumento de planeación urbana responsable de abordar los efectos del cambio climático en Puebla?,PMD,7cbbf4f0
¿Qué documento previsto por las políticas de desarrollo urbano contempla estrategias para minimizar la huella carbono en el Municipio de Puebla?,PMD,7cbbf4f0
¿Qué áreas urbanas carecen de regulaciones específicas?,PMD,0811bfe1
¿En qué zonas no existen planes para guiar su crecimiento urbanístico?,PMD,0811bfe1
¿Qué instrumentos específicos se necesitan para la gestión del agua en Puebla?,PMD,3c367131
¿Cuál es el desarrollo urbano que requiere instrumentos específicos de planificación en Puebla?,PMD,3c367131
¿Cuál fue el año en que el Centro Histórico de Puebla fue declarado Zona de Monumentos Históricos?,PMD,206f7394
¿Cuáles son las diferentes actividades que se concentran actualmente en la zona del Centro Histórico?,PMD,206f7394
pregunta1,PMD,14d6876a
pregunta2,PMD,14d6876a
¿Cuál fue la población del Centro Histórico en el año 2000?,PMD,550a402e
¿Cuántas viviendas existen deshabitadas en el Centro Histórico?,PMD,550a402e
¿En qué barrios y colonias del Centro Histórico se concentran las mayores condiciones de pobreza y marginación según CONEVAL 2016?,PMD,137b232d
"¿Dónde se ubica la mayor parte de la población residente del Centro Histórico, y en qué zonas se observa mayor deterioro urbano?",PMD,137b232d
¿Cuántos espacios recreativos se encuentran en el Centro Histórico y cómo se compara su dotación con otras zonas del municipio?,PMD,eed016e4
